   contribution,  sigma / S*m^-1, delta_sigma / S*m^-1,        r2
     msd_1_self,        0.555349,             0.000304,  0.999919
     msd_2_self,        0.075888,             0.000009,  0.999994
     msd_3_self,        1.721330,             0.000630,  0.999876
    msd_1_cross,       -0.010091,             0.002274,  0.177452
    msd_2_cross,       -0.056834,             0.000077,  0.999789
    msd_3_cross,        0.351561,             0.008135,  0.976595
        msd_1_2,       -0.203851,             0.000887,  0.997807
        msd_1_3,       -1.424095,             0.006024,  0.994860
        msd_2_3,        0.274629,             0.001144,  0.995243
       total_eh,        1.296666,             0.005284,  0.996463
