time;anion_self;anion_self_std;cation_self;cation_self_std;anion_cross;anion_cross_std;cation_cross;cation_cross_std;anion_cation;anion_cation_std;total_eh;total_eh_std
      1.00000000;     12.07399420;      0.00345078;     12.98893000;      0.00480527;    -11.20369860;      0.00701752;     -7.46237800;      0.03127993;      4.38622080;      0.02321164;     10.78306820;      0.05706405
      2.00000000;     16.49606860;      0.00618321;     17.82502780;      0.00697514;    -15.37145080;      0.00940410;    -10.68349520;      0.05448754;      5.66797760;      0.04517411;     13.93412780;      0.11105734
      3.00000000;     18.99721080;      0.00767333;     20.70767300;      0.00936268;    -17.69188900;      0.00578366;    -12.41864540;      0.04342959;      6.57870720;      0.03898861;     16.17305680;      0.09584957
      4.00000000;     20.84439340;      0.00924470;     22.88035920;      0.01313782;    -19.39129980;      0.01020340;    -13.65296640;      0.05913909;      7.32345900;      0.05195571;     18.00394500;      0.12772824
      5.00000000;     22.31719220;      0.01138882;     24.65510680;      0.01691288;    -20.73275140;      0.00928925;    -14.59364020;      0.05668280;      7.98543740;      0.05143354;     19.63134540;      0.12644184
      6.00000000;     23.53089500;      0.01503876;     26.15881940;      0.02157074;    -21.82986380;      0.01548147;    -15.35699340;      0.06281459;      8.57303720;      0.05464741;     21.07589440;      0.13434398
      7.00000000;     24.57029960;      0.01521720;     27.48382340;      0.02403934;    -22.76153520;      0.01633922;    -15.99788060;      0.07136246;      9.11600040;      0.06226238;     22.41070800;      0.15306427
      8.00000000;     25.54410120;      0.01551292;     28.73193100;      0.02582050;    -23.62712440;      0.01378573;    -16.55882820;      0.08363401;      9.66137760;      0.07982042;     23.75145700;      0.19623021
      9.00000000;     26.49845700;      0.01884734;     29.95561660;      0.02753151;    -24.48480100;      0.01695382;    -17.16859060;      0.07825836;     10.14862980;      0.07184496;     24.94931160;      0.17662358
     10.00000000;     27.42810500;      0.02177396;     31.14544060;      0.02880377;    -25.32176020;      0.01993430;    -17.76983340;      0.09817728;     10.61576980;      0.08693692;     26.09772220;      0.21372556
     11.00000000;     28.32706060;      0.02298375;     32.30197180;      0.03045289;    -26.12586420;      0.02194319;    -18.32404980;      0.11339736;     11.09380860;      0.09542538;     27.27292680;      0.23459401
     12.00000000;     29.20998340;      0.02451193;     33.43734980;      0.03195366;    -26.92008520;      0.02564183;    -18.89615480;      0.13596318;     11.54085960;      0.11311348;     28.37195300;      0.27807616
     13.00000000;     30.07471060;      0.02811393;     34.55261160;      0.03498486;    -27.69735740;      0.02879463;    -19.45606980;      0.13476365;     11.98162100;      0.10980316;     29.45551620;      0.26993912
