# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 21595.972882
1.000000; 21595.972882; 19825.199056
2.000000; 41421.171938; 19914.945987
3.000000; 61336.117925; 19923.533508
4.000000; 81259.651433; 20016.131022
5.000000; 101275.782455; 20053.449847
6.000000; 121329.232302; 20070.267056
7.000000; 141399.499358; 20200.935584
8.000000; 161600.434941; 20327.180506
9.000000; 181927.615447; 20358.864503
10.000000; 202286.479950; 20399.192469
11.000000; 222685.672420; 20408.828584
12.000000; 243094.501004; 20383.995409
13.000000; 263478.496412; 20434.179297
14.000000; 283912.675710; 20441.729525
15.000000; 304354.405235; 20469.288771
16.000000; 324823.694006; 20508.380566
17.000000; 345332.074572; 20526.495264
18.000000; 365858.569836; 20468.774911
19.000000; 386327.344747; 20503.544456
20.000000; 406830.889203; 20626.030419
21.000000; 427456.919621; 20630.046182
22.000000; 448086.965804; 20577.755483
23.000000; 468664.721287; 20622.656573
24.000000; 489287.377860; 20499.424780
25.000000; 509786.802640; 20469.537947
26.000000; 530256.340587; 20435.236240
27.000000; 550691.576827; 20538.756531
28.000000; 571230.333358; 20594.719031
29.000000; 591825.052389; 20652.813255
30.000000; 612477.865643; 20645.197069
31.000000; 633123.062712; 20660.070525
32.000000; 653783.133237; 20598.307717
33.000000; 674381.440955; 20634.114442
34.000000; 695015.555397; 20742.451990
35.000000; 715758.007387; 20871.369032
36.000000; 736629.376419; 20865.163058
37.000000; 757494.539478; 20923.025854
38.000000; 778417.565332; 20925.540460
39.000000; 799343.105792; 20954.851725
40.000000; 820297.957517; 20959.096743
41.000000; 841257.054261; 21005.142399
42.000000; 862262.196660; 20891.327149
43.000000; 883153.523809; 20942.743077
44.000000; 904096.266886; 20996.438635
45.000000; 925092.705521; 21048.906449
46.000000; 946141.611971; 21110.048145
47.000000; 967251.660116; 21031.439466
48.000000; 988283.099582; 20952.526553
49.000000; 1009235.626135; 20875.577633
50.000000; 1030111.203768; 20844.087673
51.000000; 1050955.291440; 20876.879093
52.000000; 1071832.170533; 20888.133961
53.000000; 1092720.304494; 20916.933480
54.000000; 1113637.237974; 20930.198476
55.000000; 1134567.436450; 20994.220351
56.000000; 1155561.656801; 21115.625344
57.000000; 1176677.282145; 21124.176192
58.000000; 1197801.458337; 21206.399510
59.000000; 1219007.857847; 21231.138039
60.000000; 1240238.995886; 21270.761916
61.000000; 1261509.757802; 21299.563218
62.000000; 1282809.321020; 21313.113351
63.000000; 1304122.434371; 21284.068848
64.000000; 1325406.503219; 21217.612735
65.000000; 1346624.115954; 21204.585719
66.000000; 1367828.701672; 21313.548637
67.000000; 1389142.250310; 21342.118855
68.000000; 1410484.369165; 21294.463660
69.000000; 1431778.832825; 21276.542168
70.000000; 1453055.374993; 21253.040064
71.000000; 1474308.415057; 21137.043083
72.000000; 1495445.458140; 21223.350196
73.000000; 1516668.808335; 21288.507650
74.000000; 1537957.315985; 21309.391316
75.000000; 1559266.707301; 21371.299905
76.000000; 1580638.007206; 21418.315052
