# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 10558.408317
1.000000; 10558.408317; 8788.505509
2.000000; 19346.913826; 8616.021543
3.000000; 27962.935370; 8606.798900
4.000000; 36569.734269; 8570.886654
5.000000; 45140.620923; 8542.185127
6.000000; 53682.806051; 8574.028548
7.000000; 62256.834598; 8524.793140
8.000000; 70781.627738; 8510.284144
9.000000; 79291.911881; 8477.376218
10.000000; 87769.288100; 8520.984960
11.000000; 96290.273060; 8520.919025
12.000000; 104811.192084; 8519.598198
13.000000; 113330.790282; 8498.157649
14.000000; 121828.947931; 8478.886168
15.000000; 130307.834099; 8514.983955
16.000000; 138822.818054; 8523.578788
17.000000; 147346.396842; 8477.075472
18.000000; 155823.472314; 8472.087790
19.000000; 164295.560104; 8464.433216
20.000000; 172759.993320; 8493.928150
21.000000; 181253.921470; 8461.150686
22.000000; 189715.072155; 8466.736907
23.000000; 198181.809062; 8473.076739
24.000000; 206654.885801; 8484.382689
25.000000; 215139.268490; 8438.768681
26.000000; 223578.037171; 8488.374428
27.000000; 232066.411599; 8493.561767
28.000000; 240559.973366; 8433.182320
29.000000; 248993.155686; 8445.299181
30.000000; 257438.454867; 8426.786408
31.000000; 265865.241275; 8455.265528
32.000000; 274320.506803; 8465.169041
33.000000; 282785.675844; 8452.534206
34.000000; 291238.210050; 8454.409645
35.000000; 299692.619695; 8486.394259
36.000000; 308179.013954; 8462.270599
37.000000; 316641.284554; 8479.680966
38.000000; 325120.965520; 8464.239834
39.000000; 333585.205354; 8453.085784
40.000000; 342038.291138; 8465.977606
41.000000; 350504.268744; 8435.843309
42.000000; 358940.112053; 8472.811789
43.000000; 367412.923842; 8492.842326
44.000000; 375905.766169; 8424.840234
45.000000; 384330.606402; 8435.878979
46.000000; 392766.485381; 8399.950927
47.000000; 401166.436308; 8332.792830
48.000000; 409499.229138; 8396.681085
49.000000; 417895.910223; 8434.346780
50.000000; 426330.257004; 8416.777201
51.000000; 434747.034204; 8403.478345
52.000000; 443150.512549; 8475.018064
53.000000; 451625.530613; 8457.972354
54.000000; 460083.502967; 8391.745846
55.000000; 468475.248813; 8341.724449
56.000000; 476816.973262; 8340.198201
57.000000; 485157.171463; 8314.431255
58.000000; 493471.602718; 8348.163545
59.000000; 501819.766263; 8341.821944
60.000000; 510161.588207; 8349.714729
61.000000; 518511.302935; 8341.916367
62.000000; 526853.219302; 8324.874118
63.000000; 535178.093420; 8342.958289
64.000000; 543521.051709; 8369.489538
65.000000; 551890.541248; 8363.775406
66.000000; 560254.316654; 8374.196466
67.000000; 568628.513119; 8410.764946
68.000000; 577039.278066; 8390.615560
69.000000; 585429.893626; 8370.716120
70.000000; 593800.609747; 8339.879392
71.000000; 602140.489139; 8348.952781
72.000000; 610489.441920; 8352.722759
73.000000; 618842.164679; 8356.740801
74.000000; 627198.905480; 8357.789203
75.000000; 635556.694683; 8301.837777
76.000000; 643858.532461; 8289.036043
77.000000; 652147.568504; 8289.381814
78.000000; 660436.950318; 8285.483223
79.000000; 668722.433541; 8293.712357
80.000000; 677016.145898; 8349.307833
81.000000; 685365.453731; 8300.643669
82.000000; 693666.097400; 8295.655705
83.000000; 701961.753104; 8259.637100
84.000000; 710221.390204; 8283.567454
85.000000; 718504.957658; 8319.778492
86.000000; 726824.736150; 8352.033129
87.000000; 735176.769279; 8305.050456
88.000000; 743481.819735; 8349.453722
89.000000; 751831.273457; 8407.514309
90.000000; 760238.787765; 8390.829937
91.000000; 768629.617703; 8373.040882
92.000000; 777002.658585; 8392.289503
93.000000; 785394.948088; 8344.760170
94.000000; 793739.708258; 8351.201105
95.000000; 802090.909364; 8323.285602
96.000000; 810414.194965; 8306.890268
97.000000; 818721.085234; 8306.115418
98.000000; 827027.200652; 8291.808138
99.000000; 835319.008790; 8321.900946
100.000000; 843640.909736; 8309.071051
101.000000; 851949.980786; 8346.317420
102.000000; 860296.298207; 8279.576065
103.000000; 868575.874272; 8255.336808
104.000000; 876831.211080; 8236.066448
105.000000; 885067.277528; 8203.522324
106.000000; 893270.799852; 8195.861299
107.000000; 901466.661152; 8209.661277
108.000000; 909676.322428; 8138.687597
109.000000; 917815.010026; 8161.444010
110.000000; 925976.454036; 8163.139447
111.000000; 934139.593483; 8140.860384
112.000000; 942280.453866; 8165.452958
113.000000; 950445.906824; 8135.196468
114.000000; 958581.103292; 8117.167812
115.000000; 966698.271104; 8121.724031
116.000000; 974819.995135; 8086.674423
117.000000; 982906.669557; 8156.188825
118.000000; 991062.858382; 8166.546231
119.000000; 999229.404613; 8155.547053
120.000000; 1007384.951667; 8132.203163
121.000000; 1015517.154830; 8075.612725
122.000000; 1023592.767554; 8040.823724
123.000000; 1031633.591278; 8066.272764
124.000000; 1039699.864042; 8052.292331
125.000000; 1047752.156372; 8090.883910
126.000000; 1055843.040282; 8057.027833
127.000000; 1063900.068115; 8100.348379
128.000000; 1072000.416494; 8072.538877
129.000000; 1080072.955370; 8139.891709
130.000000; 1088212.847079; 8134.950353
131.000000; 1096347.797432; 8065.315232
132.000000; 1104413.112665; 8146.668546
133.000000; 1112559.781211; 8199.454406
134.000000; 1120759.235617; 8143.226639
135.000000; 1128902.462256; 8157.291212
136.000000; 1137059.753468; 8215.899190
137.000000; 1145275.652658; 8262.991899
138.000000; 1153538.644557; 8243.746288
139.000000; 1161782.390846; 8292.065044
140.000000; 1170074.455889; 8256.605554
141.000000; 1178331.061443; 8268.887663
142.000000; 1186599.949106; 8241.671532
143.000000; 1194841.620638; 8203.791647
144.000000; 1203045.412285; 8274.332634
145.000000; 1211319.744919; 8276.811903
146.000000; 1219596.556822; 8208.424969
147.000000; 1227804.981791; 8213.471883
148.000000; 1236018.453674; 8175.471109
149.000000; 1244193.924783; 8210.774695
150.000000; 1252404.699478; 8211.291767
151.000000; 1260615.991245; 8160.104698
152.000000; 1268776.095943; 8205.308165
153.000000; 1276981.404108; 8166.790012
154.000000; 1285148.194120; 8189.656220
155.000000; 1293337.850340; 8167.897599
156.000000; 1301505.747939; 8215.843759
157.000000; 1309721.591698; 8227.460476
158.000000; 1317949.052174; 8267.288769
159.000000; 1326216.340944; 8235.629751
160.000000; 1334451.970695; 8218.063873
161.000000; 1342670.034568; 8243.695378
162.000000; 1350913.729946; 8261.393982
163.000000; 1359175.123929; 8221.239330
164.000000; 1367396.363259; 8245.044367
165.000000; 1375641.407626; 8238.364820
166.000000; 1383879.772446; 8272.032947
167.000000; 1392151.805393; 8249.799871
168.000000; 1400401.605265; 8189.778441
169.000000; 1408591.383705; 8223.333700
170.000000; 1416814.717405; 8195.665020
171.000000; 1425010.382425; 8261.909080
172.000000; 1433272.291505; 8203.308947
173.000000; 1441475.600452; 8164.804525
174.000000; 1449640.404977; 8197.351598
175.000000; 1457837.756576; 8188.096362
176.000000; 1466025.852938; 8177.815639
177.000000; 1474203.668577; 8163.711688
178.000000; 1482367.380265; 8202.153480
179.000000; 1490569.533745; 8176.825862
180.000000; 1498746.359607; 8201.524579
181.000000; 1506947.884185; 8248.589615
182.000000; 1515196.473800; 8293.553047
183.000000; 1523490.026847; 8256.591910
184.000000; 1531746.618757; 8301.116388
185.000000; 1540047.735145; 8323.707667
186.000000; 1548371.442811; 8297.090325
187.000000; 1556668.533136; 8233.240294
188.000000; 1564901.773430; 8133.830388
189.000000; 1573035.603818; 8173.764544
190.000000; 1581209.368362; 8186.113465
191.000000; 1589395.481827; 8184.200689
192.000000; 1597579.682516; 8262.376144
193.000000; 1605842.058660; 8237.702946
194.000000; 1614079.761605; 8200.856641
195.000000; 1622280.618246; 8205.488798
196.000000; 1630486.107044; 8206.375811
197.000000; 1638692.482855; 8215.601259
198.000000; 1646908.084114; 8185.070837
199.000000; 1655093.154951; 8249.266494
200.000000; 1663342.421445; 8219.512673
201.000000; 1671561.934118; 8150.867034
202.000000; 1679712.801152; 8102.694807
203.000000; 1687815.495958; 8116.121161
204.000000; 1695931.617119; 8168.886329
205.000000; 1704100.503449; 8235.341119
206.000000; 1712335.844568; 8191.608382
207.000000; 1720527.452950; 8253.671982
208.000000; 1728781.124932; 8195.124136
209.000000; 1736976.249068; 8188.065802
210.000000; 1745164.314869; 8232.412057
211.000000; 1753396.726926; 8215.900252
212.000000; 1761612.627178; 8157.565525
213.000000; 1769770.192704; 8148.081468
214.000000; 1777918.274171; 8080.558996
215.000000; 1785998.833167; 8078.449581
216.000000; 1794077.282748; 8116.189880
217.000000; 1802193.472628; 8085.493972
218.000000; 1810278.966600; 8041.013130
219.000000; 1818319.979730; 8038.030166
220.000000; 1826358.009896; 8012.578032
221.000000; 1834370.587928; 7991.160440
222.000000; 1842361.748368; 7991.534554
223.000000; 1850353.282922; 7988.808869
224.000000; 1858342.091790; 7941.469806
225.000000; 1866283.561597; 7962.475905
226.000000; 1874246.037502; 8024.220663
227.000000; 1882270.258165; 8058.004255
228.000000; 1890328.262420; 8029.288260
229.000000; 1898357.550680; 8082.539980
230.000000; 1906440.090660; 8044.220832
231.000000; 1914484.311492; 8053.678142
232.000000; 1922537.989634; 8044.342716
233.000000; 1930582.332351; 8059.521605
234.000000; 1938641.853955; 8076.259269
235.000000; 1946718.113224; 8060.099087
236.000000; 1954778.212311; 8075.906473
237.000000; 1962854.118784; 8085.872178
238.000000; 1970939.990962; 7999.132252
239.000000; 1978939.123214; 8028.254207
240.000000; 1986967.377420; 8018.390231
241.000000; 1994985.767651; 8022.496081
242.000000; 2003008.263732; 8041.237069
